equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11022@linha_grupo:L1_L3,EQ11022,ssa_sg,linha_grupo,L1_L3,,VAR11010@L1; VAR11010@L2; VAR11010@L3,,49,PUBLISHED,YES,
EQ11025@linha_grupo:L1_L3,EQ11025,eoc_solids,linha_grupo,L1_L3,,VAR11014@L1; VAR11014@L2; VAR11014@L3,,50,PUBLISHED,YES,
EQ11031@linha_grupo:L4_L5,EQ11031,lth,linha_grupo,L4_L5,,VAR11003@L4; VAR11003@L5,,51,PUBLISHED,YES,
EQ11032@linha_grupo:L4_L5,EQ11032,oee,linha_grupo,L4_L5,,VAR11004@L4; VAR11004@L5,,52,PUBLISHED,YES,
EQ11033@linha_grupo:L4_L5,EQ11033,ltp_lth,linha_grupo,L4_L5,,VAR11005@L4; VAR11005@L5,,53,PUBLISHED,YES,
EQ11034@linha_grupo:L4_L5,EQ11034,ltp_tc,linha_grupo,L4_L5,,PARAM11001@L4; PARAM11001@L5,,54,PUBLISHED,YES,
EQ11035@linha_grupo:L4_L5,EQ11035,ltp_a_c,linha_grupo,L4_L5,,VAR11006@L4; VAR11006@L5,,55,PUBLISHED,YES,
EQ11036@linha_grupo:L4_L5,EQ11036,sl_solids,linha_grupo,L4_L5,,VAR11007@L4; VAR11007@L5,,56,PUBLISHED,YES,
EQ11037@linha_grupo:L4_L5,EQ11037,ssa_sf,linha_grupo,L4_L5,,VAR11009@L4; VAR11009@L5,,57,PUBLISHED,YES,
EQ11038@linha_grupo:L4_L5,EQ11038,ssa_sg,linha_grupo,L4_L5,,VAR11010@L4; VAR11010@L5,,58,PUBLISHED,YES,
EQ11041@linha_grupo:L4_L5,EQ11041,eoc_solids,linha_grupo,L4_L5,,VAR11014@L4; VAR11014@L5,,59,PUBLISHED,YES,
EQ11047@linha_grupo:L6_L7,EQ11047,lth,linha_grupo,L6_L7,,VAR11003@L6; VAR11003@L7,,60,PUBLISHED,YES,
EQ11048@linha_grupo:L6_L7,EQ11048,oee,linha_grupo,L6_L7,,VAR11004@L6; VAR11004@L7,,61,PUBLISHED,YES,
EQ11049@linha_grupo:L6_L7,EQ11049,ltp_lth,linha_grupo,L6_L7,,VAR11005@L6; VAR11005@L7,,62,PUBLISHED,YES,
EQ11050@linha_grupo:L6_L7,EQ11050,ltp_tc,linha_grupo,L6_L7,,PARAM11001@L6; PARAM11001@L7,,63,PUBLISHED,YES,
EQ11051@linha_grupo:L6_L7,EQ11051,ltp_a_c,linha_grupo,L6_L7,,VAR11006@L6; VAR11006@L7,,64,PUBLISHED,YES,
EQ11052@linha_grupo:L6_L7,EQ11052,sl_solids,linha_grupo,L6_L7,,VAR11007@L6; VAR11007@L7,,65,PUBLISHED,YES,
