equation_id,equation_definition_id,target_variable,scope_type,scope_value,dependencies,dependency_scopes,producer_ids,execution_order,status,executable,gap_id
EQ11070@linha_grupo:L1_L3,EQ11070,ssa_media_base,linha_grupo,L1_L3,EQ11009@linha:L1; EQ11009@linha:L2; EQ11009@linha:L3,VAR11090@L1; VAR11090@L2; VAR11090@L3,EQ11009@linha:L1; EQ11009@linha:L2; EQ11009@linha:L3,133,PUBLISHED,YES,
EQ11075@linha_grupo:L4_L5,EQ11075,yield_base,linha_grupo,L4_L5,EQ11007@linha:L4; EQ11007@linha:L5; EQ11008@linha:L4; EQ11008@linha:L5,VAR11080@L4; VAR11080@L5; VAR11081@L4; VAR11081@L5,EQ11007@linha:L4; EQ11007@linha:L5; EQ11008@linha:L4; EQ11008@linha:L5,134,PUBLISHED,YES,
EQ11076@linha_grupo:L4_L5,EQ11076,ltp_base,linha_grupo,L4_L5,EQ11008@linha:L4; EQ11008@linha:L5,VAR11081@L4; VAR11081@L5,EQ11008@linha:L4; EQ11008@linha:L5,135,PUBLISHED,YES,
EQ11086@linha_grupo:L4_L5,EQ11086,ssa_media_base,linha_grupo,L4_L5,EQ11009@linha:L4; EQ11009@linha:L5,VAR11090@L4; VAR11090@L5,EQ11009@linha:L4; EQ11009@linha:L5,136,PUBLISHED,YES,
EQ11091@linha_grupo:L6_L7,EQ11091,yield_base,linha_grupo,L6_L7,EQ11007@linha:L6; EQ11007@linha:L7; EQ11008@linha:L6; EQ11008@linha:L7,VAR11080@L6; VAR11080@L7; VAR11081@L6; VAR11081@L7,EQ11007@linha:L6; EQ11007@linha:L7; EQ11008@linha:L6; EQ11008@linha:L7,137,PUBLISHED,YES,
EQ11092@linha_grupo:L6_L7,EQ11092,ltp_base,linha_grupo,L6_L7,EQ11008@linha:L6; EQ11008@linha:L7,VAR11081@L6; VAR11081@L7,EQ11008@linha:L6; EQ11008@linha:L7,138,PUBLISHED,YES,
EQ11102@linha_grupo:L6_L7,EQ11102,ssa_media_base,linha_grupo,L6_L7,EQ11009@linha:L6; EQ11009@linha:L7,VAR11090@L6; VAR11090@L7,EQ11009@linha:L6; EQ11009@linha:L7,139,PUBLISHED,YES,
EQ11001@linha:L1,EQ11001,yield,linha,L1,EQ11006@linha:L1,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L1,140,PUBLISHED,YES,
EQ11001@linha:L2,EQ11001,yield,linha,L2,EQ11006@linha:L2,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L2,141,PUBLISHED,YES,
EQ11001@linha:L3,EQ11001,yield,linha,L3,EQ11006@linha:L3,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L3,142,PUBLISHED,YES,
EQ11001@linha:L4,EQ11001,yield,linha,L4,EQ11006@linha:L4,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L4,143,PUBLISHED,YES,
EQ11001@linha:L5,EQ11001,yield,linha,L5,EQ11006@linha:L5,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L5,144,PUBLISHED,YES,
EQ11001@linha:L6,EQ11001,yield,linha,L6,EQ11006@linha:L6,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L6,145,PUBLISHED,YES,
EQ11001@linha:L7,EQ11001,yield,linha,L7,EQ11006@linha:L7,PARAM11001; VAR11006; VAR11007; VAR11008,EQ11006@linha:L7,146,PUBLISHED,YES,
EQ11012@linha_grupo:L1_L3,EQ11012,ratio_spent,linha_grupo,L1_L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3; EQ11006@linha:L1; EQ11006@linha:L2; EQ11006@linha:L3,VAR11002@L1; VAR11002@L2; VAR11002@L3; VAR11008@L1; VAR11008@L2; VAR11008@L3,EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3; EQ11006@linha:L1; EQ11006@linha:L2; EQ11006@linha:L3,147,PUBLISHED,YES,
EQ11028@linha_grupo:L4_L5,EQ11028,ratio_spent,linha_grupo,L4_L5,EQ11002@linha:L4; EQ11002@linha:L5; EQ11006@linha:L4; EQ11006@linha:L5,VAR11002@L4; VAR11002@L5; VAR11008@L4; VAR11008@L5,EQ11002@linha:L4; EQ11002@linha:L5; EQ11006@linha:L4; EQ11006@linha:L5,148,PUBLISHED,YES,
EQ11044@linha_grupo:L6_L7,EQ11044,ratio_spent,linha_grupo,L6_L7,EQ11002@linha:L6; EQ11002@linha:L7; EQ11006@linha:L6; EQ11006@linha:L7,VAR11002@L6; VAR11002@L7; VAR11008@L6; VAR11008@L7,EQ11002@linha:L6; EQ11002@linha:L7; EQ11006@linha:L6; EQ11006@linha:L7,149,PUBLISHED,YES,
EQ11074@linha_grupo:L1_L3,EQ11074,producao_base_ppt_base,linha_grupo,L1_L3,EQ11010@linha:L1; EQ11010@linha:L2; EQ11010@linha:L3,VAR11094@L1; VAR11094@L2; VAR11094@L3,EQ11010@linha:L1; EQ11010@linha:L2; EQ11010@linha:L3,150,PUBLISHED,YES,
EQ11090@linha_grupo:L4_L5,EQ11090,producao_base_ppt_base,linha_grupo,L4_L5,EQ11010@linha:L4; EQ11010@linha:L5,VAR11094@L4; VAR11094@L5,EQ11010@linha:L4; EQ11010@linha:L5,151,PUBLISHED,YES,
EQ11106@linha_grupo:L6_L7,EQ11106,producao_base_ppt_base,linha_grupo,L6_L7,EQ11010@linha:L6; EQ11010@linha:L7,VAR11094@L6; VAR11094@L7,EQ11010@linha:L6; EQ11010@linha:L7,152,PUBLISHED,YES,
EQ11005@linha:L1,EQ11005,producao_base_ppt,linha,L1,EQ11001@linha:L1; EQ11002@linha:L1,VAR11001; VAR11002,EQ11001@linha:L1; EQ11002@linha:L1,153,PUBLISHED,YES,
EQ11005@linha:L2,EQ11005,producao_base_ppt,linha,L2,EQ11001@linha:L2; EQ11002@linha:L2,VAR11001; VAR11002,EQ11001@linha:L2; EQ11002@linha:L2,154,PUBLISHED,YES,
EQ11005@linha:L3,EQ11005,producao_base_ppt,linha,L3,EQ11001@linha:L3; EQ11002@linha:L3,VAR11001; VAR11002,EQ11001@linha:L3; EQ11002@linha:L3,155,PUBLISHED,YES,
EQ11005@linha:L4,EQ11005,producao_base_ppt,linha,L4,EQ11001@linha:L4; EQ11002@linha:L4,VAR11001; VAR11002,EQ11001@linha:L4; EQ11002@linha:L4,156,PUBLISHED,YES,
EQ11005@linha:L5,EQ11005,producao_base_ppt,linha,L5,EQ11001@linha:L5; EQ11002@linha:L5,VAR11001; VAR11002,EQ11001@linha:L5; EQ11002@linha:L5,157,PUBLISHED,YES,
EQ11005@linha:L6,EQ11005,producao_base_ppt,linha,L6,EQ11001@linha:L6; EQ11002@linha:L6,VAR11001; VAR11002,EQ11001@linha:L6; EQ11002@linha:L6,158,PUBLISHED,YES,
EQ11005@linha:L7,EQ11005,producao_base_ppt,linha,L7,EQ11001@linha:L7; EQ11002@linha:L7,VAR11001; VAR11002,EQ11001@linha:L7; EQ11002@linha:L7,159,PUBLISHED,YES,
EQ11011@linha_grupo:L1_L3,EQ11011,yield,linha_grupo,L1_L3,EQ11001@linha:L1; EQ11001@linha:L2; EQ11001@linha:L3; EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,VAR11001@L1; VAR11001@L2; VAR11001@L3; VAR11002@L1; VAR11002@L2; VAR11002@L3,EQ11001@linha:L1; EQ11001@linha:L2; EQ11001@linha:L3; EQ11002@linha:L1; EQ11002@linha:L2; EQ11002@linha:L3,160,PUBLISHED,YES,
EQ11027@linha_grupo:L4_L5,EQ11027,yield,linha_grupo,L4_L5,EQ11001@linha:L4; EQ11001@linha:L5; EQ11002@linha:L4; EQ11002@linha:L5,VAR11001@L4; VAR11001@L5; VAR11002@L4; VAR11002@L5,EQ11001@linha:L4; EQ11001@linha:L5; EQ11002@linha:L4; EQ11002@linha:L5,161,PUBLISHED,YES,
EQ11043@linha_grupo:L6_L7,EQ11043,yield,linha_grupo,L6_L7,EQ11001@linha:L6; EQ11001@linha:L7; EQ11002@linha:L6; EQ11002@linha:L7,VAR11001@L6; VAR11001@L7; VAR11002@L6; VAR11002@L7,EQ11001@linha:L6; EQ11001@linha:L7; EQ11002@linha:L6; EQ11002@linha:L7,162,PUBLISHED,YES,
EQ11026@linha_grupo:L1_L3,EQ11026,producao_base_ppt,linha_grupo,L1_L3,EQ11005@linha:L1; EQ11005@linha:L2; EQ11005@linha:L3,VAR11015@L1; VAR11015@L2; VAR11015@L3,EQ11005@linha:L1; EQ11005@linha:L2; EQ11005@linha:L3,163,PUBLISHED,YES,
EQ11042@linha_grupo:L4_L5,EQ11042,producao_base_ppt,linha_grupo,L4_L5,EQ11005@linha:L4; EQ11005@linha:L5,VAR11015@L4; VAR11015@L5,EQ11005@linha:L4; EQ11005@linha:L5,164,PUBLISHED,YES,
EQ11058@linha_grupo:L6_L7,EQ11058,producao_base_ppt,linha_grupo,L6_L7,EQ11005@linha:L6; EQ11005@linha:L7,VAR11015@L6; VAR11015@L7,EQ11005@linha:L6; EQ11005@linha:L7,165,PUBLISHED,YES,
