equation_definition_id,target,scope,platform_dependencies,dependency_count
EQ11055,ssa_media,linha_grupo/L6_L7,ssa_media@L6; ssa_media@L7,2
EQ11056,n_ppt,linha_grupo/L6_L7,n_ppt@L6; n_ppt@L7,2
EQ11057,eoc_solids,linha_grupo/L6_L7,eoc_solids@L6; eoc_solids@L7,2
EQ11058,producao_base_ppt,linha_grupo/L6_L7,producao_base_ppt@L6; producao_base_ppt@L7,2
EQ11059,yield_base,linha_grupo/L1_L3,ltp_base@L1; ltp_base@L2; ltp_base@L3; yield_base@L1; yield_base@L2; yield_base@L3,6
EQ11060,ltp_base,linha_grupo/L1_L3,ltp_base@L1; ltp_base@L2; ltp_base@L3,3
EQ11061,lth_base,linha_grupo/L1_L3,lth_base@L1; lth_base@L2; lth_base@L3,3
EQ11062,oee_base,linha_grupo/L1_L3,oee_base@L1; oee_base@L2; oee_base@L3,3
EQ11063,ltp_lth_base,linha_grupo/L1_L3,ltp_lth_base@L1; ltp_lth_base@L2; ltp_lth_base@L3,3
EQ11064,ltp_tc_base,linha_grupo/L1_L3,ltp_tc_base@L1; ltp_tc_base@L2; ltp_tc_base@L3,3
EQ11065,ltp_a_c_base,linha_grupo/L1_L3,ltp_a_c_base@L1; ltp_a_c_base@L2; ltp_a_c_base@L3,3
EQ11066,sl_solids_base,linha_grupo/L1_L3,sl_solids_base@L1; sl_solids_base@L2; sl_solids_base@L3,3
EQ11067,ratio_spent_base,linha_grupo/L1_L3,ratio_spent_base@L1; ratio_spent_base@L2; ratio_spent_base@L3,3
EQ11068,ssa_sf_base,linha_grupo/L1_L3,ssa_sf_base@L1; ssa_sf_base@L2; ssa_sf_base@L3,3
EQ11069,ssa_sg_base,linha_grupo/L1_L3,ssa_sg_base@L1; ssa_sg_base@L2; ssa_sg_base@L3,3
EQ11070,ssa_media_base,linha_grupo/L1_L3,ssa_media_base@L1; ssa_media_base@L2; ssa_media_base@L3,3
EQ11071,n_ppt_base,linha_grupo/L1_L3,n_ppt_base@L1; n_ppt_base@L2; n_ppt_base@L3,3
EQ11072,eoc_temp_base,linha_grupo/L1_L3,eoc_temp_base@L1; eoc_temp_base@L2; eoc_temp_base@L3,3
EQ11073,eoc_solids_base,linha_grupo/L1_L3,eoc_solids_base@L1; eoc_solids_base@L2; eoc_solids_base@L3,3
EQ11074,producao_base_ppt_base,linha_grupo/L1_L3,producao_base_ppt_base@L1; producao_base_ppt_base@L2; producao_base_ppt_base@L3,3
EQ11075,yield_base,linha_grupo/L4_L5,ltp_base@L4; ltp_base@L5; yield_base@L4; yield_base@L5,4
EQ11076,ltp_base,linha_grupo/L4_L5,ltp_base@L4; ltp_base@L5,2
EQ11077,lth_base,linha_grupo/L4_L5,lth_base@L4; lth_base@L5,2
EQ11078,oee_base,linha_grupo/L4_L5,oee_base@L4; oee_base@L5,2
EQ11079,ltp_lth_base,linha_grupo/L4_L5,ltp_lth_base@L4; ltp_lth_base@L5,2
EQ11080,ltp_tc_base,linha_grupo/L4_L5,ltp_tc_base@L4; ltp_tc_base@L5,2
EQ11081,ltp_a_c_base,linha_grupo/L4_L5,ltp_a_c_base@L4; ltp_a_c_base@L5,2
EQ11082,sl_solids_base,linha_grupo/L4_L5,sl_solids_base@L4; sl_solids_base@L5,2
EQ11083,ratio_spent_base,linha_grupo/L4_L5,ratio_spent_base@L4; ratio_spent_base@L5,2
EQ11084,ssa_sf_base,linha_grupo/L4_L5,ssa_sf_base@L4; ssa_sf_base@L5,2
EQ11085,ssa_sg_base,linha_grupo/L4_L5,ssa_sg_base@L4; ssa_sg_base@L5,2
EQ11086,ssa_media_base,linha_grupo/L4_L5,ssa_media_base@L4; ssa_media_base@L5,2
EQ11087,n_ppt_base,linha_grupo/L4_L5,n_ppt_base@L4; n_ppt_base@L5,2
EQ11088,eoc_temp_base,linha_grupo/L4_L5,eoc_temp_base@L4; eoc_temp_base@L5,2
EQ11089,eoc_solids_base,linha_grupo/L4_L5,eoc_solids_base@L4; eoc_solids_base@L5,2
EQ11090,producao_base_ppt_base,linha_grupo/L4_L5,producao_base_ppt_base@L4; producao_base_ppt_base@L5,2
EQ11091,yield_base,linha_grupo/L6_L7,ltp_base@L6; ltp_base@L7; yield_base@L6; yield_base@L7,4
EQ11092,ltp_base,linha_grupo/L6_L7,ltp_base@L6; ltp_base@L7,2
EQ11093,lth_base,linha_grupo/L6_L7,lth_base@L6; lth_base@L7,2
EQ11094,oee_base,linha_grupo/L6_L7,oee_base@L6; oee_base@L7,2
EQ11095,ltp_lth_base,linha_grupo/L6_L7,ltp_lth_base@L6; ltp_lth_base@L7,2
EQ11096,ltp_tc_base,linha_grupo/L6_L7,ltp_tc_base@L6; ltp_tc_base@L7,2
EQ11097,ltp_a_c_base,linha_grupo/L6_L7,ltp_a_c_base@L6; ltp_a_c_base@L7,2
EQ11098,sl_solids_base,linha_grupo/L6_L7,sl_solids_base@L6; sl_solids_base@L7,2
EQ11099,ratio_spent_base,linha_grupo/L6_L7,ratio_spent_base@L6; ratio_spent_base@L7,2
EQ11100,ssa_sf_base,linha_grupo/L6_L7,ssa_sf_base@L6; ssa_sf_base@L7,2
EQ11101,ssa_sg_base,linha_grupo/L6_L7,ssa_sg_base@L6; ssa_sg_base@L7,2
EQ11102,ssa_media_base,linha_grupo/L6_L7,ssa_media_base@L6; ssa_media_base@L7,2
EQ11103,n_ppt_base,linha_grupo/L6_L7,n_ppt_base@L6; n_ppt_base@L7,2
EQ11104,eoc_temp_base,linha_grupo/L6_L7,eoc_temp_base@L6; eoc_temp_base@L7,2
EQ11105,eoc_solids_base,linha_grupo/L6_L7,eoc_solids_base@L6; eoc_solids_base@L7,2
EQ11106,producao_base_ppt_base,linha_grupo/L6_L7,producao_base_ppt_base@L6; producao_base_ppt_base@L7,2
