row,Type,name,description,unit,value,version,variable_type,frequency,scope_type,scope_value,source_reference,status,expression,fonte,OBS,value_type,role
37,parameter,retirada_performance_41c,Desempenho de retirada associado à condição operacional 41c.,m³/h,5,1,,,planta,PLANTA,Forecast A41!F26,ativo,,,Dados não utilizados na planilha. AVALIAR a necessidade de inseri-los na plataforma.,,parameter
38,parameter,retirada_manobra_linha_41a,Retirada de condensado adicional associada à manobra da linha 41a.,m³/h,5,1,,,planta,PLANTA,Forecast A41!I23,ativo,,,Dados não utilizados na planilha. AVALIAR a necessidade de inseri-los na plataforma.,,parameter
39,variable / equation,retirada_condensado_grupo,Retirada de condensado calculada para o grupo de linhas L4 e L5 conforme os estados operacionais das linhas.,m³/h,,,calculado,diário,linha_grupo,L4_L5,Forecast A41!A12,ativo,"(     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))     if hes_l4@L4 == ""Normal"" and hes_l5@L5 == ""Normal""     else (         (             (                 (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14                 + (                     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2                 ) * 10             ) / 24         )         if hes_l4@L4 == ""LC"" or hes_l5@L5 == ""LC""         else (             50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)         )         if hes_l4@L4 == ""Overhaul/Parada"" or hes_l5@L5 == ""Overhaul/Parada""         else (             100             - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)             - desconto_retirada_41d         )         if hes_l4@L4 == ""1 By pass"" or hes_l5@L5 == ""1 By pass""         else (             (                 (                     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14                     + (                         (                             (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))                             - desconto_retirada_41c                         ) / 2                     ) * 10                 ) / 24             )             if hes_l4@L4 == ""1 By pass e LC""             and hes_l5@L5 == ""1 By pass e LC""             else ""F""         )     ) )",,"Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ramos 1 By pass e 1 By pass e LC. No grupo L4_L5 utiliza-se desconto_retirada_41c/41d, enquanto no L6_L7 apenas desconto_retirada_41c. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional.",numeric,equation
40,variable / equation,retirada_condensado_grupo,Média mensal da retirada de condensado calculada para o grupo de linhas L4 e L5.,m³/h,,,calculado,mensal,linha_grupo,L4_L5,Forecast A41!A12,ativo,Média mensal de todos os resultados diários de 'retirada_condensado_grupo',,,numeric,aggregation
41,variable / equation,retirada_condensado_grupo,Média anual da retirada de condensado calculada para o grupo de linhas L4 e L5.,m³/h,,,calculado,anual,linha_grupo,L4_L5,Forecast A41!A12,ativo,Média anual de todos os resultados diários de 'retirada_condensado_grupo',,,numeric,aggregation
42,variable / equation,retirada_condensado_grupo,Retirada de condensado calculada para o grupo de linhas L6 e L7 conforme os estados operacionais das linhas.,m³/h,,,calculado,diário,linha_grupo,L6_L7,Forecast A41!A13,ativo,"(     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))     if hes_l6@L6 == ""Normal"" and hes_l7@L7 == ""Normal""     else (         (             (                 (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14                 + (                     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) / 2                 ) * 10             ) / 24         )         if hes_l6@L6 == ""LC"" or hes_l7@L7 == ""LC""         else (             50 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)         )         if hes_l6@L6 == ""Overhaul/Parada"" or hes_l7@L7 == ""Overhaul/Parada""         else (             100             - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)             - desconto_retirada_41c         )         if hes_l6@L6 == ""1 By pass"" or hes_l7@L7 == ""1 By pass""         else (             (                 (                     (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2)) * 14                     + (                         (                             (100 - ((retirada_cond_corr_ltp - retirada_cond_corr_lth) * 2))                             - desconto_retirada_41c                         ) / 2                     ) * 10                 ) / 24             )             if hes_l6@L6 == ""1 By pass e LC""             and hes_l7@L7 == ""1 By pass e LC""             else ""F""         )     ) )",,"Referências de desconto_retirada_41c/41d são inconsistentes com a aplicação nos ramos 1 By pass e 1 By pass e LC. No grupo L4_L5 utiliza-se desconto_retirada_41c/41d, enquanto no L6_L7 apenas desconto_retirada_41c. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional. Confirmar qual desconto corresponde a cada grupo e a cada condição operacional.",numeric,equation
43,variable / equation,retirada_condensado_grupo,Média mensal da retirada de condensado calculada para o grupo de linhas L6 e L7.,m³/h,,,calculado,mensal,linha_grupo,L6_L7,Forecast A41!A13,ativo,Média mensal de todos os resultados diários de 'retirada_condensado_grupo',,,numeric,aggregation
44,variable / equation,retirada_condensado_grupo,Média anual da retirada de condensado calculada para o grupo de linhas L6 e L7.,m³/h,,,calculado,anual,linha_grupo,L6_L7,Forecast A41!A13,ativo,Média anual de todos os resultados diários de 'retirada_condensado_grupo',,,numeric,aggregation
45,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L1 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L1,Forecast A41!A3,ativo,( retirada_condensado_grupo@L1_L3 * lth@L1 ) / ( lth@L1 + lth@L2 + lth@L3 ),,,numeric,equation
46,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L2 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L2,Forecast A41!A4,ativo,( retirada_condensado_grupo@L1_L3 * lth@L2 ) / ( lth@L1 + lth@L2 + lth@L3 ),,,numeric,equation
47,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L3 a partir da alocação proporcional do resultado do grupo L1 a L3 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L3,Forecast A41!A5,ativo,( retirada_condensado_grupo@L1_L3 * lth@L3 ) / ( lth@L1 + lth@L2 + lth@L3 ),,,numeric,equation
48,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L4 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L4,Forecast A41!A6,ativo,( retirada_condensado_grupo@L4_L5 * lth@L4 ) / (  lth@L4 +  lth@L5 ),,,numeric,equation
49,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L5 a partir da alocação proporcional do resultado do grupo L4 a L5 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L5,Forecast A41!A7,ativo,( retirada_condensado_grupo@L4_L5 * lth@L5 ) / (  lth@L4 +  lth@L5 ),,,numeric,equation
50,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L6 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L6,Forecast A41!A8,ativo,( retirada_condensado_grupo@L6_L7 * lth@L6 ) / (  lth@L6 +  lth@L7 ),,,numeric,equation
51,variable / equation,retirada_condensado_linha,Retirada de condensado calculada para a linha L7 a partir da alocação proporcional do resultado do grupo L6 a L7 pelo LTH da linha.,m³/h,,,calculado,diário,linha,L7,Forecast A41!A9,ativo,( retirada_condensado_grupo@L6_L7 * lth@L7 ) / (  lth@L6 +  lth@L7 ),,,numeric,equation
52,variable / equation,retirada_condensado_linha,Média mensal da retirada de condensado calculada para cada linha da área 41.,m³/h,,,calculado,mensal,linha,L1_L7,Forecast A41!A3:A9,ativo,Média mensal de todos os resultados diários de 'retirada_condensado_linha',,,numeric,aggregation
53,variable / equation,retirada_condensado_linha,Média anual da retirada de condensado calculada para cada linha da área 41.,m³/h,,,calculado,anual,linha,L1_L7,Forecast A41!A3:A9,ativo,Média anual de todos os resultados diários de 'retirada_condensado_linha',,,numeric,aggregation
54,variable / equation,retirada_condensado_total,Retirada de condensado total calculada para o conjunto das linhas L1 a L7.,m³/h,,,calculado,diário,linha_grupo,L1_L7,Forecast A41!A10,ativo,retirada_condensado_grupo@L1_L3 + retirada_condensado_grupo@L4_L5 + retirada_condensado_grupo@L6_L7,,,numeric,equation
55,variable / equation,retirada_condensado_total,Média mensal da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,m³/h,,,calculado,mensal,linha_grupo,L1_L7,Forecast A41!A10,ativo,Média mensal de todos os resultados diários de 'retirada_condensado_total',,,numeric,aggregation
56,variable / equation,retirada_condensado_total,Média anual da retirada de condensado total calculada para o conjunto das linhas L1 a L7.,m³/h,,,calculado,anual,linha_grupo,L1_L7,Forecast A41!A10,ativo,Média anual de todos os resultados diários de 'retirada_condensado_total',,,numeric,aggregation
