consumidor,linha_consumidor,referencia,frequencia_consumidor,escopo_consumidor,modo,produtor_resolvido,frequencia_produtor,escopo_produtor,instancia_lida,temporal,produtor_plataforma,deterministico,independente_igual_plataforma
retirada_condensado_grupo@L4_L5,39,hes_l4@L4,diário,linha_grupo/L4_L5,explícita,hes_l4 (linha 25),diário,linha/L4,linha/L4,mesma frequência,hes_l4 (linha 25),sim,sim
retirada_condensado_grupo@L4_L5,39,hes_l5@L5,diário,linha_grupo/L4_L5,explícita,hes_l5 (linha 26),diário,linha/L5,linha/L5,mesma frequência,hes_l5 (linha 26),sim,sim
retirada_condensado_grupo@L4_L5,39,desconto_retirada_41d,diário,linha_grupo/L4_L5,implícita,desconto_retirada_41d (linha 31),diário,linha_grupo/L4_L5,linha_grupo/L4_L5,mesma frequência,desconto_retirada_41d (linha 31),sim,sim
retirada_condensado_grupo@L4_L5,39,desconto_retirada_41c,diário,linha_grupo/L4_L5,implícita,desconto_retirada_41c (linha 29),diário,linha_grupo/L4_L5,linha_grupo/L4_L5,mesma frequência,desconto_retirada_41c (linha 29),sim,sim
retirada_condensado_grupo@L6_L7,42,retirada_cond_corr_ltp,diário,linha_grupo/L6_L7,implícita,retirada_cond_corr_ltp (linha 8),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,retirada_cond_corr_ltp (linha 8),sim,sim
retirada_condensado_grupo@L6_L7,42,retirada_cond_corr_lth,diário,linha_grupo/L6_L7,implícita,retirada_cond_corr_lth (linha 18),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,retirada_cond_corr_lth (linha 18),sim,sim
retirada_condensado_grupo@L6_L7,42,hes_l6@L6,diário,linha_grupo/L6_L7,explícita,hes_l6 (linha 27),diário,linha/L6,linha/L6,mesma frequência,hes_l6 (linha 27),sim,sim
retirada_condensado_grupo@L6_L7,42,hes_l7@L7,diário,linha_grupo/L6_L7,explícita,hes_l7 (linha 28),diário,linha/L7,linha/L7,mesma frequência,hes_l7 (linha 28),sim,sim
retirada_condensado_grupo@L6_L7,42,desconto_retirada_41c,diário,linha_grupo/L6_L7,implícita,desconto_retirada_41c (linha 30),diário,linha_grupo/L6_L7,linha_grupo/L6_L7,mesma frequência,desconto_retirada_41c (linha 30),sim,sim
retirada_condensado_linha@L1,45,retirada_condensado_grupo@L1_L3,diário,linha/L1,explícita,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,linha_grupo/L1_L3,mesma frequência,retirada_condensado_grupo (linha 22),sim,sim
retirada_condensado_linha@L1,45,lth@L1,diário,linha/L1,explícita,lth (linha 9),diário,linha/L1_L7,linha/L1,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L1,45,lth@L2,diário,linha/L1,explícita,lth (linha 9),diário,linha/L1_L7,linha/L2,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L1,45,lth@L3,diário,linha/L1,explícita,lth (linha 9),diário,linha/L1_L7,linha/L3,mesma frequência,lth (linha 9),sim,sim
retirada_condensado_linha@L2,46,retirada_condensado_grupo@L1_L3,diário,linha/L2,explícita,retirada_condensado_grupo (linha 22),diário,linha_grupo/L1_L3,linha_grupo/L1_L3,mesma frequência,retirada_condensado_grupo (linha 22),sim,sim
